Index	HOMO (A)	HOMO (AH)	LUMO (A)	LUMO (AH)	charge (AH)	Charge metal (A)	epsilon	Charge metal (AH)	M-H (AH) max	Charge hydride (AH)	metal centre 	coordination number (AH)	cc_AH	coordination number (A)	cc_A	solvated PA	gas PA	Experimental pKa
171	-8.1582	-9.9253	-6.9102	-8.1691	1	-0.185	8.93	-0.1	1.560256	-0.02	76	4	32	3	31	-0.187434833	-0.150350787	10.9
172	-8.1786	-9.7876	-6.8016	-7.7846	1	-0.179	8.93	-0.079	1.5568437	-0.05	76	4	32	3	31	-0.174864878	-0.135311126	11.8
173	-8.188	-9.9323	-6.8233	-8.0027	1	-0.177	8.93	-0.1	1.5590006	-0.011	76	4	32	3	31	-0.180864125	-0.14319589	9.9
174	-8.1627	-9.7557	-6.7226	-7.675	1	-0.178	8.93	-0.074	1.5491843	-0.062	76	4	32	3	31	-0.175959471	-0.137104751	13.4
175	-8.289	-9.9028	-6.8377	-8.0013	1	-0.179	8.93	-0.076	1.5530518	-0.07	76	4	32	3	31	-0.181273269	-0.14674272	13.4
176	-7.8537	-9.498	-6.5565	-7.5012	1	-0.15	8.93	-0.098	1.5562084	-0.029	76	7	53	5	45	-0.174564714	-0.131690979	8.8
177	-8.6588	-10.3693	-6.8428	-8.4576	1	-0.269	10.36	-0.192	1.5182878	-0.027	44	4	48	4	38	-0.182008717	-0.139541902	2.1
178	-8.5935	-9.9311	-6.7848	-7.7677	1	-0.275	8.93	-0.276	1.51517	0.016	44	7	79	5	61	-0.164117631	-0.135833624	6
179	-8.3847	-10.0357	-6.5595	-8.1734	1	-0.277	10.36	-0.201	1.52109	-0.051	44	4	48	4	38	-0.196353431	-0.156940702	7.1
180	-8.5858	-9.8214	-6.2052	-7.8117	1	-0.337	78.4	-0.274	1.5377887	-0.01	44	5	38	3	31	-0.182402561	-0.131274155	-1.1
181	-8.3094	-9.6645	-6.0125	-7.6111	1	-0.347	78.4	-0.288	1.5416954	-0.047	44	4	32	3	31	-0.193559479	-0.145790745	0.5
182	-8.5856	-9.7999	-6.2063	-7.6427	1	-0.337	78.4	-0.256	1.5384706	-0.061	44	6	44	3	31	-0.187733223	-0.138073743	0.3
183	-8.3031	-9.6586	-6.0259	-7.4092	1	-0.35	78.4	-0.262	1.5447903	-0.094	44	4	32	3	31	-0.202461813	-0.155490953	4.7
184	-8.2585	-10.3027	-6.8376	-8.1292	1	-0.267	7.52	-0.252	1.5292442	-0.021	44	5	38	3	31	-0.192490901	-0.152039614	6
185	-9.5884	-10.8052	-7.4874	-8.8862	1	-0.272	36.6	-0.252	1.6829438	0.042	44	6	26	5	68	-0.177054888	-0.125868434	6.5
186	-8.1378	-10.1448	-6.5128	-7.7755	1	-0.292	7.52	-0.245	1.5160557	-0.067	44	6	44	3	31	-0.200801253	-0.155486105	8
187	-8.282	-9.8914	-6.9071	-8.0573	1	-0.181	10.36	-0.078	1.5527566	-0.06	76	4	32	3	31	-0.17640368	-0.140305213	11.6
188	-8.3701	-9.8903	-6.8094	-7.8784	1	-0.267	8.93	-0.231	1.5108918	-0.036	44	5	49	3	31	-0.174106656	-0.151568808	6.9
189	-8.3553	-9.9823	-6.7727	-7.962	1	-0.253	8.93	-0.24	1.5234709	-0.018	44	5	49	3	31	-0.172331036	-0.146399227	8.4
190	-8.0611	-10.133	-6.3986	-7.7457	1	-0.279	7.52	-0.236	1.5189527	-0.02	44	4	32	3	31	-0.196499661	-0.148607952	8.7
191	-8.1329	-10.2409	-6.6454	-7.9718	1	-0.276	7.52	-0.256	1.5259703	-0.016	44	5	38	3	31	-0.199335603	-0.156186705	7.2
192	-8.4242	-10.2531	-6.8599	-8.089	1	-0.316	10.36	-0.266	1.529712	-0.038	44	6	44	3	31	-0.193241052	-0.156186574	6.3
193	-8.4324	-10.125	-6.7661	-7.7573	1	-0.315	10.36	-0.252	1.5220777	-0.046	44	5	38	3	31	-0.184193218	-0.144915205	6.4
194	-8.0978	-10.0857	-6.5066	-7.6308	1	-0.279	7.52	-0.227	1.5185334	-0.041	44	6	44	3	31	-0.19328205	-0.144920499	7.4
195	-8.1931	-9.8407	-6.7234	-7.8532	1	-0.191	10.36	-0.085	1.5529973	-0.053	76	4	32	3	31	-0.18654354	-0.147817429	12.1
196	-7.7854	-9.824	-6.3099	-7.3301	1	-0.311	7.52	-0.196	1.5216646	-0.088	44	6	44	3	31	-0.215893058	-0.167417178	10.4
197	-7.8766	-9.8633	-6.4361	-7.5576	1	-0.311	7.52	-0.207	1.5098049	-0.097	44	5	38	3	31	-0.210005198	-0.165556543	11.1
198	-7.814	-9.8689	-6.2641	-7.4295	1	-0.307	7.52	-0.209	1.5180406	-0.079	44	5	38	3	31	-0.209831347	-0.163769057	12.2
199	-7.7076	-9.8345	-6.1117	-7.2379	1	-0.308	7.52	-0.211	1.5231485	-0.045	44	5	38	3	31	-0.214436707	-0.166496994	14.3
200	-7.5867	-9.7576	-5.1992	-6.8152	1	-0.312	7.52	-0.201	1.5220016	-0.029	44	4	32	3	31	-0.219031898	-0.166935673	16.3
201	-8.37	-10.167	-6.6819	-7.8044	1	-0.311	8.93	-0.269	1.5272285	-0.026	44	4	32	3	31	-0.191465384	-0.159826965	8.1
202	-8.3445	-10.0288	-6.6499	-7.5991	1	-0.321	8.93	-0.255	1.5252476	-0.043	44	5	38	3	31	-0.186520728	-0.153069885	8.5
203	-7.9764	-10.0586	-6.3554	-7.5688	1	-0.277	7.52	-0.247	1.5251567	-0.001	44	6	44	3	31	-0.202146169	-0.159826379	8.6
204	-7.9317	-9.9008	-6.3104	-7.379	1	-0.288	7.52	-0.238	1.5206325	-0.041	44	6	44	3	31	-0.197592	-0.153068788	9
